accurate_moves,inaccurate_moves,mistake_moves,blunder_moves,average_cp_loss,accuracy_score,player,game_id,elo,result,cheat_ratio,label
4,12,0,5,134.9047619047619,86.50952380952381,white,game_109,1300,draw,0.08695652173913043,0
10,5,0,5,133.3,86.67,black,game_109,1302,draw,0.4782608695652174,0
3,4,22,26,284.0,71.6,white,game_110,1302,draw,0.029411764705882353,0
7,6,21,21,256.96363636363634,74.30363636363637,black,game_110,1302,draw,0.40298507462686567,0
1,2,4,22,404.0689655172414,59.593103448275855,white,game_111,1305,draw,0.17142857142857143,0
2,1,4,21,397.17857142857144,60.28214285714285,black,game_111,1302,draw,0.2,0
2,4,0,34,424.4,57.56,white,game_112,1308,draw,0.7045454545454546,1
2,5,0,33,416.75,58.324999999999996,black,game_112,1302,draw,0.27906976744186046,0
6,3,9,11,268.48275862068965,73.15172413793104,white,game_113,1314,draw,0.6875,0
3,5,9,11,274.0,72.6,black,game_113,1302,draw,0.03225806451612903,0
6,9,3,35,313.9433962264151,68.60566037735849,white,game_114,1314,draw,0.3333333333333333,0
5,9,3,36,327.188679245283,67.2811320754717,black,game_114,1302,draw,0.2982456140350877,0
0,6,22,45,344.4109589041096,65.55890410958904,white,game_115,1318,draw,0.8235294117647058,1
1,6,21,46,341.47297297297297,65.8527027027027,black,game_115,1302,draw,0.7023809523809523,1
1,4,6,24,366.45714285714286,63.354285714285716,white,game_116,1320,draw,0.4634146341463415,0
3,4,4,24,352.14285714285717,64.78571428571428,black,game_116,1302,draw,0.225,0
0,5,4,20,370.82758620689657,62.91724137931034,white,game_117,1323,draw,0.0,0
0,5,3,21,381.2068965517241,61.87931034482759,black,game_117,1302,draw,0.6176470588235294,0
149,14,5,6,26.04022988505747,97.39597701149425,white,game_118,1325,draw,0.9065934065934066,1
148,14,5,6,27.63005780346821,97.23699421965318,black,game_118,1302,draw,0.9120879120879121,1
8,7,13,30,306.4655172413793,69.35344827586206,white,game_119,1326,draw,0.16417910447761194,0
9,6,12,30,301.29824561403507,69.87017543859649,black,game_119,1302,draw,0.045454545454545456,0
1,6,6,12,296.36,70.364,white,game_120,1332,draw,0.1,0
3,3,3,15,337.2916666666667,66.27083333333333,black,game_120,1302,draw,0.3333333333333333,0
9,5,2,21,308.05405405405406,69.19459459459459,white,game_121,1335,draw,0.6190476190476191,0
10,4,2,22,311.7631578947368,68.82368421052632,black,game_121,1302,draw,0.0,0
